CustomerID,Age,Gender,Annual_Income_Lakhs,Spending_Score,Purchase_Frequency,Recency_Days,Preferred_Category
CUST1490,53,Female,9.0,59,9,58,Beauty
CUST1430,26,Male,5.8,51,9,45,Sports
CUST1083,35,Male,16.9,89,21,20,Beauty
CUST1121,44,Male,22.2,29,6,42,Fashion
CUST1222,21,Female,8.3,74,12,23,Groceries
CUST1148,43,Male,15.7,19,5,90,Sports
CUST1033,34,Male,11.6,96,28,10,Home & Kitchen
CUST1386,37,Female,3.4,19,1,107,Fashion
CUST1201,41,Female,6.3,77,11,18,Electronics
CUST1482,47,Male,8.7,37,12,44,Sports
CUST1296,34,Male,6.3,81,15,42,Fashion
CUST1262,25,Female,6.0,64,21,27,Home & Kitchen
CUST1434,25,Male,8.0,42,13,29,Electronics
CUST1475,51,Male,10.4,62,15,33,Groceries
CUST1460,45,Female,12.4,65,13,31,Sports
CUST1458,59,Female,7.6,50,15,38,Groceries
CUST1356,51,Male,3.2,23,5,132,Electronics
CUST1467,22,Male,5.7,61,15,14,Fashion
CUST1116,42,Female,12.9,25,5,110,Groceries
CUST1404,32,Female,3.5,22,2,105,Fashion
CUST1014,46,Female,22.1,92,26,24,Electronics
CUST1275,33,Female,6.0,95,20,16,Groceries
CUST1309,33,Male,6.1,77,17,1,Sports
CUST1506,34,Male,6.9,53,13,39,Home & Kitchen
CUST1337,18,Male,6.1,23,4,83,Fashion
CUST1498,54,Female,11.5,48,9,27,Beauty
CUST1133,64,Female,16.3,31,6,120,Beauty
CUST1376,40,Female,4.3,17,2,134,Fashion
CUST1260,31,Female,3.1,64,18,8,Electronics
CUST1269,34,Male,5.0,88,22,24,Beauty
CUST1279,27,Female,4.7,84,19,15,Sports
CUST1497,42,Male,9.1,57,10,52,Fashion
CUST1302,34,Male,4.2,65,10,22,Groceries
CUST1147,48,Male,15.8,31,8,64,Home & Kitchen
CUST1026,36,Male,15.0,72,25,9,Sports
CUST1485,40,Male,8.2,47,9,9,Sports
CUST1314,36,Male,6.9,67,18,7,Groceries
CUST1247,37,Male,4.9,79,18,28,Groceries
CUST1347,22,Female,5.6,21,5,154,Fashion
CUST1223,18,Male,6.2,98,18,16,Electronics
CUST1419,39,Male,5.6,32,5,59,Fashion
CUST1052,42,Female,15.8,85,29,14,Groceries
CUST1259,24,Male,6.1,69,18,18,Home & Kitchen
CUST1428,54,Male,8.3,26,15,36,Beauty
CUST1041,43,Female,17.5,80,24,13,Home & Kitchen
CUST1090,41,Female,17.5,96,29,21,Electronics
CUST1207,21,Female,4.4,68,16,8,Electronics
CUST1240,30,Male,6.0,52,14,19,Beauty
CUST1483,54,Female,9.0,47,12,31,Electronics
CUST1239,22,Male,3.6,75,17,25,Fashion
CUST1505,27,Male,5.7,55,13,36,Sports
CUST1311,27,Female,5.8,89,24,26,Fashion
CUST1004,45,Male,13.7,73,20,20,Electronics
CUST1180,33,Female,14.2,42,8,97,Electronics
CUST1249,39,Male,2.9,76,24,15,Sports
CUST1293,21,Male,5.9,87,17,10,Beauty
CUST1066,44,Female,18.5,78,25,9,Beauty
CUST1139,55,Male,16.9,27,6,112,Fashion
CUST1437,40,Male,8.1,53,11,49,Fashion
CUST1304,25,Male,7.0,58,9,22,Groceries
CUST1114,46,Female,17.8,41,6,88,Home & Kitchen
CUST1469,54,Female,7.8,50,14,30,Beauty
CUST1169,37,Male,17.2,24,5,89,Sports
CUST1102,47,Male,14.0,80,26,7,Groceries
CUST1373,35,Male,5.7,45,4,144,Beauty
CUST1214,24,Female,3.1,90,19,22,Home & Kitchen
CUST1406,53,Female,6.4,15,3,128,Home & Kitchen
CUST1502,60,Male,6.0,46,8,34,Electronics
CUST1461,26,Male,9.2,44,12,26,Fashion
CUST1338,29,Male,3.9,41,1,63,Groceries
CUST1452,45,Male,8.8,40,18,38,Sports
CUST1194,51,Male,15.6,33,4,107,Home & Kitchen
CUST1061,26,Female,16.0,86,15,20,Sports
CUST1417,22,Female,5.0,28,4,83,Sports
CUST1315,18,Male,6.5,81,19,22,Fashion
CUST1119,38,Female,12.4,44,7,105,Groceries
CUST1370,31,Female,5.0,27,3,124,Beauty
CUST1426,36,Male,6.2,50,11,20,Electronics
CUST1110,26,Male,15.9,78,26,16,Electronics
CUST1348,34,Female,5.3,19,2,104,Beauty
CUST1450,47,Male,11.8,41,12,46,Sports
CUST1362,24,Female,5.2,27,1,44,Sports
CUST1091,43,Female,19.0,91,24,10,Electronics
CUST1156,43,Female,15.5,28,5,106,Home & Kitchen
CUST1264,29,Male,5.8,63,9,18,Beauty
CUST1307,29,Female,5.2,72,30,26,Groceries
CUST1031,53,Male,19.2,79,23,14,Home & Kitchen
CUST1023,47,Female,19.9,68,22,2,Sports
CUST1306,23,Female,5.5,90,19,32,Electronics
CUST1032,35,Male,15.0,85,26,10,Sports
CUST1238,22,Male,6.3,86,11,2,Sports
CUST1327,23,Male,4.5,26,3,123,Groceries
CUST1053,28,Female,24.4,81,18,10,Beauty
CUST1491,32,Male,10.2,61,8,20,Electronics
CUST1165,43,Female,19.6,5,2,131,Home & Kitchen
CUST1217,34,Male,2.7,72,18,16,Home & Kitchen
CUST1163,38,Male,19.5,39,7,68,Electronics
CUST1366,28,Male,3.2,16,4,157,Electronics
CUST1057,36,Female,20.8,76,26,1,Home & Kitchen
CUST1471,44,Male,8.3,56,9,55,Electronics
CUST1003,43,Male,16.2,83,21,14,Beauty
CUST1059,32,Female,17.5,92,25,1,Beauty
CUST1372,37,Male,4.3,32,4,154,Home & Kitchen
CUST1241,31,Female,8.4,73,20,12,Groceries
CUST1268,30,Female,1.5,69,18,32,Sports
CUST1500,47,Male,6.5,43,12,35,Home & Kitchen
CUST1075,39,Female,19.3,80,26,17,Sports
CUST1331,33,Female,2.9,22,1,38,Home & Kitchen
CUST1477,43,Male,8.1,58,16,54,Home & Kitchen
CUST1422,56,Male,7.5,42,14,40,Sports
CUST1278,38,Male,7.7,80,14,15,Beauty
CUST1081,41,Female,23.2,96,18,6,Home & Kitchen
CUST1243,29,Female,4.9,96,20,15,Groceries
CUST1027,42,Female,18.9,73,25,10,Electronics
CUST1203,22,Female,5.2,71,14,28,Groceries
CUST1213,25,Male,5.9,98,12,16,Fashion
CUST1282,29,Female,8.3,77,23,25,Electronics
CUST1354,25,Male,5.1,29,2,89,Sports
CUST1365,30,Female,3.8,27,5,146,Fashion
CUST1146,42,Male,11.4,28,6,106,Sports
CUST1421,36,Female,7.7,60,14,25,Groceries
CUST1109,44,Male,17.5,73,21,16,Electronics
CUST1051,40,Male,15.1,76,24,19,Sports
CUST1436,47,Male,8.1,53,10,35,Fashion
CUST1301,31,Female,7.6,95,17,29,Fashion
CUST1015,41,Male,20.5,76,30,12,Electronics
CUST1465,45,Male,14.3,61,12,26,Fashion
CUST1391,26,Female,5.7,8,4,131,Fashion
CUST1115,55,Female,14.7,45,5,87,Sports
CUST1244,32,Female,4.7,60,19,16,Home & Kitchen
CUST1060,45,Male,17.9,84,18,3,Home & Kitchen
CUST1174,50,Female,11.6,20,6,165,Fashion
CUST1099,41,Female,15.4,90,18,1,Electronics
CUST1160,45,Male,17.4,17,6,123,Home & Kitchen
CUST1250,26,Female,6.8,78,11,35,Home & Kitchen
CUST1042,42,Male,14.9,80,29,21,Electronics
CUST1271,29,Female,2.9,73,19,25,Fashion
CUST1205,38,Male,3.3,63,22,14,Sports
CUST1218,26,Female,3.9,80,17,7,Electronics
CUST1080,36,Female,23.0,85,19,22,Sports
CUST1029,41,Female,24.0,100,21,19,Sports
CUST1345,27,Male,3.3,25,2,141,Groceries
CUST1364,22,Female,2.3,16,3,120,Home & Kitchen
CUST1257,35,Male,3.2,69,19,19,Home & Kitchen
CUST1466,38,Female,7.4,62,11,2,Sports
CUST1058,48,Female,19.2,73,26,10,Groceries
CUST1427,41,Female,11.1,56,15,47,Sports
CUST1063,39,Female,16.6,89,22,8,Groceries
CUST1388,28,Male,5.0,24,3,134,Fashion
CUST1112,48,Male,19.3,20,9,69,Sports
CUST1085,30,Male,14.7,82,23,20,Beauty
CUST1237,26,Female,5.1,76,11,15,Electronics
CUST1272,28,Female,5.6,80,24,14,Sports
CUST1343,33,Male,3.9,24,3,180,Electronics
CUST1228,37,Female,6.1,68,17,16,Groceries
CUST1130,34,Female,18.2,28,7,107,Groceries
CUST1166,50,Female,16.1,13,6,93,Beauty
CUST1097,29,Male,15.5,83,27,9,Sports
CUST1489,52,Female,10.5,59,21,37,Groceries
CUST1297,30,Male,4.9,81,15,16,Beauty
CUST1480,45,Female,8.7,60,10,49,Beauty
CUST1142,41,Male,16.7,35,8,74,Beauty
CUST1464,22,Male,10.1,36,16,48,Electronics
CUST1188,45,Male,21.0,32,4,95,Beauty
CUST1369,31,Female,4.8,32,3,99,Fashion
CUST1221,18,Male,6.1,90,11,10,Beauty
CUST1229,31,Male,6.2,66,21,21,Home & Kitchen
CUST1323,27,Male,4.5,23,3,101,Electronics
CUST1396,21,Female,5.1,26,1,109,Groceries
CUST1360,27,Male,7.9,13,1,116,Beauty
CUST1082,33,Female,17.5,70,15,7,Sports
CUST1355,25,Male,4.6,19,3,155,Beauty
CUST1322,18,Female,4.7,20,3,121,Electronics
CUST1514,43,Male,10.3,47,11,38,Fashion
CUST1435,58,Male,12.8,51,8,30,Groceries
CUST1415,44,Male,3.5,27,5,39,Fashion
CUST1189,49,Female,11.9,33,4,115,Sports
CUST1335,41,Male,4.7,25,6,115,Sports
CUST1054,36,Female,15.5,99,19,15,Sports
CUST1172,35,Male,19.8,37,6,101,Beauty
CUST1385,47,Female,1.9,27,2,111,Beauty
CUST1140,41,Female,20.7,29,3,98,Sports
CUST1274,33,Female,3.9,75,26,23,Electronics
CUST1285,31,Female,6.4,72,18,12,Beauty
CUST1067,36,Male,22.7,84,27,27,Home & Kitchen
CUST1439,51,Male,9.9,61,10,21,Fashion
CUST1508,44,Male,9.4,51,14,33,Electronics
CUST1295,41,Female,5.5,54,17,13,Home & Kitchen
CUST1233,33,Male,6.0,62,6,16,Groceries
CUST1100,32,Female,17.0,73,26,7,Home & Kitchen
CUST1284,39,Female,5.2,88,23,38,Fashion
CUST1149,53,Female,22.3,35,3,98,Home & Kitchen
CUST1016,32,Female,19.1,77,16,13,Home & Kitchen
CUST1164,49,Female,19.7,24,4,106,Sports
CUST1290,34,Female,4.8,73,21,12,Fashion
CUST1047,44,Female,18.4,83,23,7,Beauty
CUST1087,35,Male,19.9,79,28,21,Sports
CUST1038,32,Male,17.6,79,21,5,Beauty
CUST1423,43,Male,9.1,60,11,34,Sports
CUST1371,26,Male,4.1,27,4,180,Electronics
CUST1425,42,Male,6.8,54,10,27,Beauty
CUST1446,50,Male,9.7,49,7,58,Home & Kitchen
CUST1294,29,Male,6.5,73,24,27,Groceries
CUST1173,32,Female,15.5,22,2,128,Electronics
CUST1074,41,Male,21.3,61,22,11,Fashion
CUST1281,25,Male,2.7,58,19,29,Fashion
CUST1105,31,Female,17.0,97,28,10,Home & Kitchen
CUST1358,35,Female,3.0,28,3,129,Groceries
CUST1254,18,Female,7.5,61,19,16,Electronics
CUST1017,41,Male,22.4,65,22,18,Groceries
CUST1447,33,Male,7.5,44,13,54,Beauty
CUST1092,37,Female,22.2,86,21,6,Beauty
CUST1089,41,Female,18.0,87,24,14,Beauty
CUST1387,35,Female,5.0,39,5,102,Groceries
CUST1141,42,Male,16.0,22,4,76,Electronics
CUST1195,32,Female,20.2,40,7,119,Sports
CUST1206,23,Female,7.3,86,17,18,Electronics
CUST1103,36,Female,18.1,91,23,13,Fashion
CUST1265,39,Female,5.9,82,20,13,Fashion
CUST1175,42,Female,14.9,32,4,80,Home & Kitchen
CUST1171,43,Male,20.5,25,6,72,Electronics
CUST1389,33,Male,3.1,7,5,64,Beauty
CUST1158,43,Male,11.6,37,5,131,Fashion
CUST1071,29,Male,21.9,80,23,3,Beauty
CUST1134,48,Female,14.1,32,1,81,Fashion
CUST1455,41,Male,8.3,52,19,27,Fashion
CUST1509,24,Male,8.8,47,15,28,Sports
CUST1379,34,Female,2.1,20,4,107,Groceries
CUST1363,41,Female,3.9,25,3,115,Electronics
CUST1246,38,Female,5.1,92,13,9,Fashion
CUST1470,54,Male,9.5,59,10,26,Fashion
CUST1432,57,Female,9.5,58,17,18,Home & Kitchen
CUST1353,26,Female,5.3,14,1,105,Beauty
CUST1245,33,Female,4.9,71,26,25,Beauty
CUST1019,44,Female,16.1,74,18,14,Home & Kitchen
CUST1178,54,Female,14.0,29,8,91,Sports
CUST1410,35,Male,5.4,27,2,89,Beauty
